日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,华侨城集团公司,其它,A股,3102418368,50.66%,不变,--,000069
2017-09-30,中国证券金融股份有限公司,其它,A股,213110442,3.48%,368318,0.17%,000069
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,76116400,1.24%,不变,--,000069
2017-09-30,深圳市特发集团有限公司,其它,A股,245682372,45.34%,不变,--,000070
2017-09-30,五矿企荣有限公司,其它,A股,16760000,3.09%,不变,--,000070
2017-09-30,汉国三和有限公司,其它,A股,8252920,1.52%,不变,--,000070
2017-09-30,中国通广电子公司,其它,A股,3420000,0.63%,不变,--,000070
2017-09-30,太平养老金溢宝混合型养老金产品-交通银行股份有限公司,企业年金,A股,1409446,0.26%,新进,--,000070
2017-09-30,深圳海王集团股份有限公司,其它,A股,451139008,24.30%,不变,--,000078
2017-09-30,北京和合源资产管理有限公司-和合源金投2号私募证券投资基金,投资公司,A股,14974454,0.81%,新进,--,000078
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,10394250,0.56%,不变,--,000078
2017-09-30,深圳市盐田港集团有限公司,其它,A股,1308450000,67.37%,不变,--,000088
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,62296800,3.21%,不变,--,000088
2017-09-30,深圳市机场(集团)有限公司,其它,A股,1168295532,56.97%,不变,--,000089
2017-09-30,香港中央结算有限公司,其它,A股,56276008,2.74%,-550908,-0.97%,000089
2017-09-30,深圳市人民政府国有资产监督管理委员会,其它,A股,281178065,36.35%,不变,--,000090
2017-09-30,中国证券金融股份有限公司,其它,A股,19099213,2.47%,不变,--,000090
2017-09-30,上海闵行联合发展有限公司,其它,A股,10058549,1.30%,不变,--,000090
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,9984660,1.29%,不变,--,000090
2017-09-30,深圳市广聚投资控股(集团)有限公司,投资公司,A股,276118377,54.05%,不变,--,000096
2017-09-30,"上海市物业管理事务中心(上海市房屋维修资金管理事务中心,上海市公房经营管理事务中心)",其它,A股,9272221,1.82%,不变,--,000096
2017-09-30,中国中海直有限责任公司,其它,A股,234119474,38.63%,不变,--,000099
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,15247100,2.52%,不变,--,000099
2017-09-30,香港中央结算有限公司,其它,A股,4404885,0.73%,不变,--,000099
2017-09-30,中国北方航空公司,其它,A股,2913067,0.48%,不变,--,000099
2017-09-30,惠州市投资控股有限公司,投资公司,A股,830572858,9.23%,不变,--,000100
2017-09-30,广东省广新控股集团有限公司,其它,A股,611690581,6.80%,不变,--,000100
2017-09-30,中国证券金融股份有限公司,其它,A股,326100699,3.62%,不变,--,000100
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,206456500,2.29%,不变,--,000100
2017-09-30,惠州市投资开发有限公司,投资公司,A股,105504587,1.17%,不变,--,000100
2017-09-30,宜华企业(集团)有限公司,其它,A股,166035045,46.91%,不变,--,000150
2017-09-30,广发证券股份有限公司约定购回专用账户,证券公司,A股,6920000,1.96%,-7810000,-53.02%,000150
2017-09-30,中国成套设备进出口(集团)总公司,其它,A股,104816100,39.32%,不变,--,000151
2017-09-30,国家开发投资公司,投资公司,A股,1307400,0.49%,不变,--,000151
2017-09-30,安徽省无为制药厂,其它,A股,35842137,11.49%,不变,--,000153
2017-09-30,安徽蚌埠涂山制药厂,其它,A股,25521900,8.18%,不变,--,000153
2017-09-30,安徽省马鞍山生物化学制药厂,其它,A股,18286558,5.86%,不变,--,000153
2017-09-30,兴业证券股份有限公司约定购回专用账户,证券公司,A股,7600000,2.44%,不变,--,000153
2017-09-30,长城国融投资管理有限公司,投资公司,A股,7000000,2.24%,不变,--,000153
2017-09-30,安信证券股份有限公司约定购回专用账户,证券公司,A股,7000000,2.24%,不变,--,000153
2017-09-30,四川化工控股(集团)有限责任公司,其它,A股,143500000,15.31%,不变,--,000155
2017-09-30,成都百合正信信息技术合伙企业(有限合伙),其它,A股,60000000,6.40%,不变,--,000155
2017-09-30,成都万年长青企业管理合伙企业(有限合伙),其它,A股,60000000,6.40%,不变,--,000155
2017-09-30,成都聚兴瑞隆商务服务合伙企业(有限合伙),其它,A股,60000000,6.40%,不变,--,000155
2017-09-30,上海鹰雳投资管理合伙企业(有限合伙),投资公司,A股,53000000,5.66%,不变,--,000155
2017-09-30,四川发展(控股)有限责任公司,其它,A股,52047000,5.55%,不变,--,000155
2017-09-30,峨眉山嘉恒置业发展有限公司,其它,A股,40000000,4.27%,不变,--,000155
2017-09-30,深圳西证众城投资合伙企业(有限合伙),投资公司,A股,40000000,4.27%,不变,--,000155
2017-09-30,上海久阳投资管理中心(有限合伙),其它,A股,30000000,3.20%,不变,--,000155
2017-09-30,深圳市天润泰安股权投资企业(有限合伙),投资公司,A股,30000000,3.20%,新进,--,000155
2017-09-30,华数数字电视传媒集团有限公司,其它,A股,446755902,44.96%,不变,--,000156
2017-09-30,湖南千禧龙投资发展有限公司,投资公司,A股,98000047,9.86%,不变,--,000156
2017-09-30,东方星空创业投资有限公司,投资公司,A股,46134669,4.64%,不变,--,000156
2017-09-30,浙江省发展资产经营有限公司,其它,A股,36317110,3.66%,不变,--,000156
2017-09-30,中国证券金融股份有限公司,其它,A股,30411165,3.06%,不变,--,000156
2017-09-30,浙江省二轻集团公司,其它,A股,26871337,2.70%,-14333500,-34.79%,000156
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,7301000,0.73%,不变,--,000156
2017-09-30,湖南省人民政府国有资产监督管理委员会,其它,A股,1253314876,16.46%,不变,--,000157
2017-09-30,长沙合盛科技投资有限公司,投资公司,A股,386517443,5.08%,不变,--,000157
2017-09-30,中国证券金融股份有限公司,其它,A股,230408951,3.03%,不变,--,000157
2017-09-30,智真国际有限公司,其它,A股,168635602,2.21%,不变,--,000157
2017-09-30,长沙一方科技投资有限公司,投资公司,A股,156864942,2.06%,不变,--,000157
2017-09-30,中央汇金资产管理有限责任公司,其它,A股,115849400,1.52%,不变,--,000157
2017-09-30,弘毅投资产业一期基金(天津)(有限合伙),投资公司,A股,64600000,0.85%,不变,--,000157
2017-09-30,广东恒健投资控股有限公司,投资公司,A股,24000000,0.32%,不变,--,000157
