,日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
99222,2016-09-30,安本亚洲资产管理有限公司-安本环球-中国A股基金,QFII,A股,4381689,0.44%,新进,--,600007
99510,2016-09-30,DEUTSCHE BANK LUXEMBOURG S.A.德意志银行卢森堡股份有限公司,金融,A股,991671286,9.28%,不变,--,600015
99511,2016-09-30,DEUTSCHE BANK AKTIENGESELLSCHAFT德意志银行股份有限公司,QFII,A股,877302599,8.21%,不变,--,600015
99514,2016-09-30,SAL.OPPENHEIM JR.&CIE.AG&CO.KOMMANDITGESELLSCHAFT AUF AKTIEN萨尔·奥彭海姆股份有限合伙企业(普通合伙人为股份公司),其它,A股,267072000,2.50%,不变,--,600015
102372,2016-09-30,上海呈瑞投资管理有限公司-念空多策略一号E基金,投资公司,A股,2897800,0.29%,新进,--,600084
103579,2017-09-30,包钢集团-国泰君安证券-16包集 EB 担保及信托财产专户,证券公司,A股,323940000,8.92%,不变,--,600111
103590,2017-06-30,包钢集团-国泰君安证券-16包集EB担保及信托财产专户,证券公司,A股,323940000,8.92%,不变,--,600111
103600,2017-03-31,包钢集团-国泰君安证券-16包集EB担保及信托财产专户,证券公司,A股,323940000,8.92%,不变,--,600111
103610,2016-12-31,包钢集团-国泰君安证券-16包集EB担保及信托财产专户,证券公司,A股,323940000,8.92%,不变,--,600111
103620,2016-09-30,包钢集团-国泰君安证券-16包集EB担保及信托财产专户,证券公司,A股,323940000,8.92%,新进,--,600111
104581,2017-09-30,"高华-汇丰-GOLDMAN,SACHS & CO.LLC",QFII,A股,10193543,2.11%,3751543,58.24%,600132
104592,2017-06-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,6442000,1.33%,-299273,-4.44%,600132
104602,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,6741273,1.39%,-996239,-12.88%,600132
104613,2016-12-31,"高华-汇丰-GOLDMAN, SACHS & CO. ",QFII,A股,7737512,1.60%,1996366,34.77%,600132
104622,2016-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,5741146,1.19%,新进,--,600132
105684,2017-09-30,巨化集团-浙商证券-17巨化EB担保及信托财产专户,证券公司,A股,280000000,13.69%,新进,--,600160
106134,2017-09-30,国盛集团-国际金融-15国盛EB担保及信托财产专户,证券公司,A股,1200944073,14.61%,不变,--,600170
106144,2017-06-30,国盛集团-国际金融-15国盛EB担保及信托财产专户,证券公司,A股,1200944073,14.61%,191747152,19.00%,600170
106154,2017-03-31,国盛集团-国际金融-15国盛EB担保及信托财产专户,证券公司,A股,1009196921,14.61%,-3079,0.00%,600170
106164,2016-12-31,国盛集团-国际金融-15国盛EB担保及信托财产专户,证券公司,A股,1009200000,14.61%,不变,--,600170
110076,2016-12-31,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆 RQFII 证券投资信托(股票)(交易所),QFII,A股,1221800,0.53%,-158900,-11.51%,600258
110090,2016-09-30,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆RQFII证券投资信托(股票),QFII,A股,1380700,0.60%,新进,--,600258
110537,2016-12-31,KB资产运用-KB中国大陆基金,QFII,A股,5560000,0.24%,不变,--,600269
110545,2016-09-30,KB资产运用-KB中国大陆基金,QFII,A股,5560000,0.24%,新进,--,600269
110830,2017-03-31,高瓴资本管理有限公司-HCM中国基金,QFII,A股,21929549,0.94%,不变,--,600276
110840,2016-12-31,高瓴资本管理有限公司-HCM中国基金,QFII,A股,21929549,0.94%,不变,--,600276
110850,2016-09-30,高瓴资本管理有限公司-HCM中国基金,QFII,A股,21929549,0.94%,1987783,9.97%,600276
112219,2017-06-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,5460040,0.47%,-476500,-8.03%,600308
112228,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,5936540,0.51%,-1597098,-21.20%,600308
112233,2016-12-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,7533638,0.65%,-725600,-8.79%,600308
112243,2016-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,8259238,0.71%,-1060126,-11.38%,600308
112450,2016-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,3811269,0.47%,-1836796,-32.52%,600312
113950,2017-09-30,山东高速集团-中金公司-17山高EB担保及信托财产专户,证券公司,A股,540970774,11.24%,不变,--,600350
113960,2017-06-30,山东高速集团-中金公司-17山高EB担保及信托财产专户,证券公司,A股,540970774,11.24%,新进,--,600350
115181,2017-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,26489420,0.53%,12025572,83.14%,600377
115193,2017-06-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,14463848,0.29%,-12025572,-45.40%,600377
115201,2017-03-31,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,26489420,0.53%,-2203480,-7.68%,600377
115211,2016-12-31,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,28692900,0.57%,-3982300,-12.19%,600377
115220,2016-09-30,摩根士丹利投资管理公司-摩根士丹利中国A股基金,QFII,A股,32675200,0.65%,-2847100,-8.01%,600377
115784,2017-09-30,KB资产运用-KB中国大陆基金,QFII,A股,2809502,0.62%,新进,--,600390
116191,2017-06-30,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆RQFII证券投资信托(股票)(交易所),QFII,A股,2301800,0.20%,-179200,-7.22%,600399
116202,2017-03-31,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆RQFII证券投资信托(股票)(交易所),QFII,A股,2481000,0.22%,-50800,-2.01%,600399
116212,2016-12-31,新韩法国巴黎资产运用株式会社-新韩法巴中国大陆RQFII证券投资信托(股票)(交易所),QFII,A股,2531800,0.22%,新进,--,600399
117334,2017-09-30,中兵投资-广发证券-17中兵EB担保及信托财产专户,证券公司,A股,87756453,5.89%,新进,--,600435
117979,2016-09-30,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-PHC产业价值1号基金,投资公司,A股,1238900,0.47%,新进,--,600459
118079,2016-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4182489,0.70%,-2383762,-36.30%,600461
120690,2016-09-30,TEMASEK FULLERTON ALPHA PTE LTD(淡马锡富敦),QFII,A股,18255133,1.65%,新进,--,600525
122047,2017-09-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,4161338,1.19%,不变,--,600559
122057,2017-06-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4161338,1.19%,不变,--,600559
122067,2017-03-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4161338,1.19%,不变,--,600559
122077,2016-12-31,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4161338,1.19%,不变,--,600559
122088,2016-09-30,"高华-汇丰-GOLDMAN,SACHS&CO.",QFII,A股,4161338,1.19%,18,0.00%,600559
123057,2017-09-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4128833,0.54%,-795700,-16.16%,600581
123063,2017-06-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,4924533,0.64%,新进,--,600581
124682,2016-09-30,无锡TCL创业投资合伙企业(有限合伙),投资公司,A股,12910860,0.95%,不变,--,600614
125363,2017-09-30,浙报控股-浙商证券-17浙报EB担保及信托财产专户,证券公司,A股,190000000,15.99%,新进,--,600633
127246,2016-12-31,向量多维(北京)资本管理有限公司-向量ETF量化5期,投资公司,A股,3664121,0.42%,新进,--,600676
131331,2017-09-30,首域投资管理(英国)有限公司-首域中国A股基金,QFII,A股,6172934,0.83%,-332744,-5.11%,600761
131339,2017-06-30,首域投资管理(英国)有限公司-首域中国A股基金,QFII,A股,6505678,1.05%,281027,4.51%,600761
131350,2017-03-31,首域投资管理(英国)有限公司-首域中国A股基金,QFII,A股,6224651,1.01%,-981568,-13.62%,600761
131360,2016-12-31,首域投资管理(英国)有限公司-首域中国A股基金,QFII,A股,7206219,1.17%,-379100,-5.00%,600761
131370,2016-09-30,首域投资管理(英国)有限公司-首域中国A股基金,QFII,A股,7585319,1.23%,575355,8.21%,600761
131443,2017-06-30,"高华-汇丰-GOLDMAN, SACHS & CO.",QFII,A股,2479810,0.75%,新进,--,600764
