日期,股东名称,股东性质,股份类型,持股数(股),占总流通股本持股比例,增减(股),变动比例,code
2017-09-30,"BANK J SAFRA SARASIN LTD, HONG KONG BRANCH",其它,B股,25250150,1.78%,新进,--,900907
2017-09-30,THE HONGKONG ANDSHANGHAI BANKING CORPORATION LIMITED-CLIENT ACCOUNT,QFII,B股,13956400,0.98%,新进,--,900907
2017-03-31,BOCI SECURITIES LIMITED,证券公司,B股,17351357,1.22%,新进,--,900907
2017-03-31,"BANK J SAFRA SARASIN LTD, HONG KONG BRANCH",其它,B股,15409550,1.08%,2690000,21.15%,900907
2016-12-31,"BANK J SAFRA SARASIN LTD, HONG KONG BRANCH",其它,B股,12719550,0.90%,新进,--,900907
2017-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,7859532,0.68%,不变,--,900908
2017-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4921701,0.43%,不变,--,900908
2017-09-30,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,4075447,0.35%,290447,7.67%,900908
2017-09-30,SCBHK A/C KG INVESTMENTS ASIA LIMITED,投资公司,B股,2378588,0.21%,不变,--,900908
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,7859532,0.68%,不变,--,900908
2017-06-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4921701,0.43%,不变,--,900908
2017-06-30,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,3785000,0.33%,642800,20.46%,900908
2017-06-30,SCBHK A/C KG INVESTMENTS ASIA LIMITED,投资公司,B股,2378588,0.21%,不变,--,900908
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,7859532,0.68%,不变,--,900908
2017-03-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4921701,0.43%,不变,--,900908
2017-03-31,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,3142200,0.27%,700300,28.68%,900908
2017-03-31,SCBHK A/C KG INVESTMENTS ASIA IMITED,投资公司,B股,2378588,0.21%,新进,--,900908
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,7859532,0.68%,不变,--,900908
2016-12-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4921701,0.43%,618800,14.38%,900908
2016-12-31,ISHARES CORE MSCI EMERGING MARKETS ETF,其它,B股,2441900,0.21%,新进,--,900908
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,7859532,0.68%,不变,--,900908
2016-09-30,VANGUARD TOTALINTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,4302901,0.37%,50101,1.18%,900908
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4398334,0.37%,不变,--,900909
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4398334,0.37%,不变,--,900909
2017-03-31,NORGES BANK,QFII,B股,3379987,0.29%,新进,--,900909
2016-12-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4398334,0.37%,不变,--,900909
2016-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4398334,0.49%,不变,--,900909
2016-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,2580453,0.29%,63153,2.51%,900909
2016-09-30,NORGES BANK,QFII,B股,2392900,0.27%,不变,--,900909
2017-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,3406210,0.46%,不变,--,900910
2017-09-30,GUOTAI JUNAN SECURITIES(HONGKONG)LIMITED,证券公司,B股,2591747,0.35%,486693,23.12%,900910
2017-06-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,3406210,0.46%,不变,--,900910
2017-06-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,2105054,0.28%,新进,--,900910
2017-03-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,3406210,0.46%,不变,--,900910
2017-03-31,SHENWAN HONGYUAN NOMINEES (H.K.)LIMITED,其它,B股,2346562,0.32%,-3873648,-62.28%,900910
2016-12-31,SHENWAN HONGYUAN NOMINEES (H.K.) LIMITED,其它,B股,6220210,0.84%,-513000,-7.62%,900910
2016-12-31,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,3406210,0.46%,449310,15.20%,900910
2016-09-30,SHENWAN HONGYUAN NOMINEES (H.K.) LIMITED,其它,B股,6733210,0.97%,-869916,-11.44%,900910
2016-09-30,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,基金管理公司,B股,2956900,0.42%,不变,--,900910
2017-09-30,Golden China Master Fund,其它,B股,12304248,1.26%,不变,--,900911
2017-09-30,GREENWOODS CHINA ALPHA MASTER FUND,其它,B股,4999931,0.51%,不变,--,900911
2017-09-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4934243,0.51%,不变,--,900911
2017-09-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,4464792,0.46%,-141774,-3.08%,900911
2017-09-30,NOMURA SINGAPORE LIMITED,其它,B股,3499983,0.36%,新进,--,900911
2017-06-30,Golden China Master Fund,其它,B股,12304248,1.26%,不变,--,900911
2017-06-30,NORGES BANK,QFII,B股,7660880,0.79%,不变,--,900911
2017-06-30,GREENWOODS CHINA ALPHA MASTER FUND,其它,B股,4999931,0.51%,不变,--,900911
2017-06-30,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4934243,0.51%,不变,--,900911
2017-06-30,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,证券公司,B股,4606566,0.47%,新进,--,900911
2017-03-31,Golden China Master Fund,其它,B股,12304248,1.26%,不变,--,900911
2017-03-31,NORGES BANK,QFII,B股,7660880,0.79%,不变,--,900911
2017-03-31,GREENWOODS CHINA ALPHA MASTER FUND,其它,B股,4999931,0.51%,不变,--,900911
2017-03-31,SCBHK A/C BBH S/A VANGUARD EMERGING MARKETS STOCK INDEX FUND,其它,B股,4934243,0.51%,不变,--,900911
2016-12-31,Golden China Master Fund ,其它,B股,12304248,1.26%,不变,--,900911
2016-12-31,NORGES BANK ,QFII,B股,7660880,0.79%,不变,--,900911
2016-12-31,GREENWOODS CHINA ALPHA MASTER FUND ,其它,B股,4999931,0.51%,不变,--,900911
