000427,大成信用增利一年定开债券C
000428,易方达聚盈分级债券发起式
000429,易方达聚盈分级债券发起式A
000430,易方达聚盈分级债券发起式B
000431,鹏华品牌传承混合
000432,中银优秀企业混合
000433,安信鑫发优选混合
000434,新华壹诺宝货币A
000435,建信稳定添利债券A
000436,易方达裕惠定开混合发起式
000437,融通月月添利定开债券A
000438,融通月月添利定开债券B
000439,国金鑫盈货币
000452,南方医保
000457,上投摩根核心成长
000458,英大领先回报发起式
000462,农银主题轮动混合
000463,华商双债丰利债券A
000464,嘉实活期宝货币
000465,景顺长城鑫月薪定期支付债券
000466,融通通瑞债券A/B
000467,信诚惠报债券A
000469,富国目标齐利一年期纯债债券
000471,富国城镇发展股票
000473,广发集鑫债券A
000474,广发集鑫债券C
000475,广发天天利货币A
000476,广发天天利货币B
000477,广发主题领先混合
000478,建信中证500指数增强
000479,信诚惠报债券B
000480,东方红新动力混合
000481,华商双债丰利债券C
000483,鑫元货币A
000484,鑫元货币B
000485,嘉实1个月理财债券A
000486,嘉实1个月理财债券E
000487,嘉实3个月理财债券A
000488,嘉实3个月理财债券E
000489,光大保德信岁末红利纯债A
000490,光大保德信岁末红利纯债C
000493,南方现金通货币A
000494,南方现金通货币B
000495,南方现金通货币C
000496,长安产业精选混合A
000497,财通纯债债券A
000501,华富恒富18个月定开债C
000502,华富恒富18个月定开债A
000503,中信建投稳信一年A
000504,中信建投稳信一年C
000505,国寿安保货币A
000506,国寿安保货币B
000507,泰达宏利养老混合A
000508,泰达宏利养老混合B
000509,广发钱袋子货币A
000510,诺安永鑫收益一年定开债券
000511,国泰国策驱动灵活配置混合A
000512,国泰结构转型灵活配置混合A
000513,富国高端制造行业股票
000516,富国祥利一年期定期开放债券
000517,富国祥利一年期定期开放债券型C
000520,上银新兴价值成长混合
000521,诺安瑞鑫定开债券
000522,华润元大信息传媒科技混合
000523,国投瑞银医疗保健混合
000524,上投摩根民生需求
000526,国泰浓益灵活配置混合A
000527,南方新优享
000528,工银薪金货币A
000529,广发竞争优势混合
000530,招商丰盛稳定增长混合A
000531,东吴阿尔法灵活配置混合
000532,景顺长城优势企业混合
000533,永赢货币
000534,长盛高端装备制造灵活配置
000535,长盛航天海工装备灵活配置
000536,前海开源可转债债券
