2017-09-30,6433966966.92,5231023953.81,81.30%,514549875.05,8.00%,2629228740.85,40.86%,1479874068.99,23.00%,49016761.6,0.76%,1202943013.11,18.70%,639897976.47,9.95%,59972015.61,0.93%,387843997.58,6.03%,,--,4753648419.76,4749180618.08,99.91%,4467801.68,0.09%,000049
2017-12-31,29652260560.19,11260233777.86,37.97%,4290277164.65,14.47%,3330300808.23,11.23%,1602881187.37,5.41%,25565521.95,0.09%,18392026782.33,62.03%,6622115057.18,22.33%,1019078617.59,3.44%,31255212.34,0.11%,,--,15177463413.53,10199033475.04,67.20%,4978429938.49,32.80%,000050
2017-09-30,6971041157.32,5786435993.9,83.01%,1645487558.41,23.60%,1965776007.03,28.20%,1917297358.74,27.50%,77748206.13,1.12%,1184605163.42,16.99%,492174639.61,7.06%,60249472.17,0.86%,2665605.83,0.04%,,--,4577719680.04,3395913583.63,74.18%,1181806096.41,25.82%,000055
2017-09-30,13805657202.47,2862142322.9,20.73%,857580917.62,6.21%,67082941.74,0.49%,72160144.88,0.52%,3788649.87,0.03%,10943514879.57,79.27%,54964139.53,0.40%,3027143.41,0.02%,57789164.53,0.42%,,--,8038520253.69,1157963066.5,14.41%,6880557187.19,85.59%,000056
2017-09-30,7397829303.2,5646022708.8,76.32%,1053465481.57,14.24%,91439683.76,1.24%,3772815840.59,51.00%,48136312.56,0.65%,1751806594.4,23.68%,55897477.77,0.76%,32405659.95,0.44%,108550304.96,1.47%,,--,5036446706,4346145074.35,86.29%,690301631.65,13.71%,000058
2017-09-30,31751059731.55,13647208815.03,42.98%,6436326135.05,20.27%,590924817.6,1.86%,3983136816.25,12.54%,2294812681.32,7.23%,18103850916.52,57.02%,13527950526.02,42.61%,1521843922.33,4.79%,89271056.71,0.28%,,--,19712447385.82,19354067709.1,98.18%,358379676.72,1.82%,000059
2017-09-30,18703757067.52,7355439061.78,39.33%,2063966484.83,11.04%,657668691.87,3.52%,2055899840.7,10.99%,182984141.46,0.98%,11348318005.74,60.67%,5094815445.96,27.24%,3200735186.89,17.11%,10677989.66,0.06%,,--,8202225495.87,5217671738.81,63.61%,2984553757.06,36.39%,000060
2017-09-30,17898447887.86,3051623867.74,17.05%,1248192183.47,6.97%,51385376.66,0.29%,517531631.49,2.89%,104727882.09,0.59%,14846824020.12,82.95%,1905854971.79,10.65%,2319578045.31,12.96%,179244397.22,1.00%,,--,11493041252.46,6546261869.54,56.96%,4946779382.92,43.04%,000061
2017-09-30,8528520978.23,4620911907.25,54.18%,1091918194.36,12.80%,1775687877.14,20.82%,1158780722.45,13.59%,271859350.6,3.19%,3907609070.98,45.82%,313818831.04,3.68%,190728639.88,2.24%,61912052.45,0.73%,,--,4135225093.25,3345673697.62,80.91%,789551395.63,19.09%,000062
2017-09-30,146028404000,110639295000,75.77%,26182073000,17.93%,25305952000,17.33%,27773575000,19.02%,1717816000,1.18%,35389109000,24.23%,8484191000,5.81%,4870455000,3.34%,34971000,0.02%,,--,101021792000,94575112000,93.62%,6446680000,6.38%,000063
2017-09-30,12013481077.8,9847599093.91,81.97%,5042856508.18,41.98%,2094539091.34,17.43%,900554705.36,7.50%,1527957750.81,12.72%,2165881983.89,18.03%,386867352.3,3.22%,1379247077.57,11.48%,11329629.41,0.09%,,--,8067580895.75,7243781887.95,89.79%,823799007.8,10.21%,000065
2017-09-30,14774572190.34,7104137766.84,48.08%,1864756441.39,12.62%,2306566152.87,15.61%,1999130241.5,13.53%,247917129.9,1.68%,7670434423.5,51.92%,1808084583.16,12.24%,388067831.72,2.63%,10138340.62,0.07%,,--,7122394747.77,4233398897.2,59.44%,2888995850.57,40.56%,000066
2017-09-30,2098397704.69,1207533902.8,57.55%,873127731.69,41.61%,190779109.95,9.09%,32443844.43,1.55%,12266274.33,0.58%,890863801.89,42.45%,181246632.71,8.64%,39122220.54,1.86%,3658303.74,0.17%,,--,1046573581.52,1038178530.02,99.20%,8395051.5,0.80%,000068
2017-09-30,197351602760.06,147857078396.38,74.92%,30348842379.05,15.38%,513117343.2,0.26%,90502473832.01,45.86%,13611415002.17,6.90%,49494524363.68,25.08%,13985804092.79,7.09%,6367854367.54,3.23%,679240811.56,0.34%,,--,144522358171.02,101808761207.4,70.44%,42713596963.62,29.56%,000069
2017-09-30,5792308357.51,4313296604.05,74.47%,449916547.02,7.77%,1888143265.43,32.60%,1305271458.3,22.53%,182775814.83,3.16%,1479011753.46,25.53%,561972116.83,9.70%,123418804.09,2.13%,29536539.74,0.51%,,--,3581190060.9,3379207002.9,94.36%,201983058,5.64%,000070
2017-09-30,25275312515.91,20435089576.83,80.85%,3204714232.76,12.68%,11135904903.83,44.06%,2918507779.38,11.55%,1032942533.25,4.09%,4840222939.08,19.15%,623494555.2,2.47%,348923355.99,1.38%,117023185.19,0.46%,,--,18890572012.79,17148627079.72,90.78%,1741944933.07,9.22%,000078
