shareholder,value,percent,share_type,share_code
深圳华强集团有限公司,500203300,69.346,流通A股,000062
中央汇金资产管理有限责任公司,9211000,1.277,流通A股,000062
中国证券金融股份有限公司,5028153,0.697,流通A股,000062
香港中央结算有限公司,955350,0.132,流通A股,000062
深圳市中兴新通讯设备有限公司,1271868333,30.355,"流通A股,境外可流通股",000063
香港中央结算代理人有限公司,754129280,17.998,境外可流通股,000063
中央汇金资产管理有限责任公司,52519600,1.253,流通A股,000063
中国证券金融股份有限公司,51638797,1.232,流通A股,000063
湖南南天集团有限公司,42260065,1.009,流通A股,000063
中国北方工业公司,210425954,41.018,流通A股,000065
西安北方惠安化学工业有限公司,25610000,4.992,流通A股,000065
中车长春轨道客车股份有限公司,2359109,0.460,流通A股,000065
中国电子信息产业集团有限公司,757479767,25.729,流通A股,000066
南方工业资产管理有限责任公司,10208996,0.347,流通A股,000066
建投华科投资股份有限公司,8229371,0.280,流通A股,000066
深圳赛格股份有限公司,191278346,19.001,流通A股,000068
深圳市华融泰资产管理有限公司,156103049,15.507,流通A股,000068
深圳市赛格集团有限公司,68392697,6.794,流通A股,000068
阿布达比投资局,5815645,0.578,流通A股,000068
香港中央结算有限公司,3530874,0.351,流通A股,000068
华侨城集团公司,3102418368,37.808,流通A股,000069
中国证券金融股份有限公司,213110442,2.597,流通A股,000069
中央汇金资产管理有限责任公司,76116400,0.928,流通A股,000069
深圳市特发集团有限公司,245682372,39.184,流通A股,000070
五矿企荣有限公司,16760000,2.673,流通A股,000070
汉国三和有限公司,8252920,1.316,流通A股,000070
中国通广电子公司,3420000,0.545,流通A股,000070
深圳海王集团股份有限公司,451139008,17.046,流通A股,000078
中央汇金资产管理有限责任公司,10394250,0.393,流通A股,000078
深圳市盐田港集团有限公司,1308450000,67.369,流通A股,000088
中央汇金资产管理有限责任公司,62296800,3.208,流通A股,000088
深圳市机场(集团)有限公司,1168295532,56.969,流通A股,000089
香港中央结算有限公司,56276008,2.744,流通A股,000089
DEUTSCHEBANKAKTIENGESELLSCHAFT,53430961,2.605,流通A股,000089
UBSAG,53158848,2.592,流通A股,000089
GICPRIVATELIMITED,18574007,0.906,流通A股,000089
深圳市人民政府国有资产监督管理委员会,281178065,23.475,流通A股,000090
中国证券金融股份有限公司,19099213,1.595,流通A股,000090
上海闵行联合发展有限公司,10058549,0.840,流通A股,000090
中央汇金资产管理有限责任公司,9984660,0.834,流通A股,000090
深圳市广聚投资控股(集团)有限公司,276118377,52.295,流通A股,000096
上海市物业管理事务中心,9272221,1.756,流通A股,000096
中国中海直有限责任公司,234119474,38.629,流通A股,000099
中央汇金资产管理有限责任公司,15247100,2.516,流通A股,000099
香港中央结算有限公司,4404885,0.727,流通A股,000099
中国北方航空公司,2913067,0.481,流通A股,000099
惠州市投资控股有限公司,830572858,6.800,流通A股,000100
广东省广新控股集团有限公司,611690581,5.008,流通A股,000100
中国证券金融股份有限公司,326100699,2.670,流通A股,000100
中央汇金资产管理有限责任公司,206456500,1.690,流通A股,000100
惠州市投资开发有限公司,105504587,0.864,流通A股,000100
宜华企业(集团)有限公司,166035045,37.078,流通A股,000150
广发证券股份有限公司约定购回专用账户,6920000,1.545,流通A股,000150
中国成套设备进出口(集团)总公司,104816100,35.413,流通A股,000151
国家开发投资公司,1307400,0.442,流通A股,000151
安徽省无为制药厂,35842137,11.483,流通A股,000153
安徽蚌埠涂山制药厂,25521900,8.176,流通A股,000153
安徽省马鞍山生物化学制药厂,18286558,5.858,流通A股,000153
兴业证券股份有限公司约定购回专用账户,7600000,2.435,流通A股,000153
