1992-06-15,1993-10-25,--,1993-09-16,其他发行方式,1.00,3240万,6.00,--,1.94亿,1.93亿,10.20,9.80,8.22%,10.20,--,--,000520
1996-11-18,1993-10-18,--,1993-08-30,其他发行方式,1.00,3000万,4.80,--,1.44亿,1.40亿,12.00,11.45,12.80%,12.50,--,--,000521
1978-06-20,1993-11-08,14.38,1993-09-22,其他发行方式,1.00,2040万,6.90,--,1.41亿,1.31亿,10.00,9.80,7.64%,10.00,--,--,000523
1993-01-14,1993-11-18,17,1993-09-22,其他发行方式,1.00,2100万,6.28,--,1.32亿,0,15.00,15.35,26.11%,15.80,--,--,000524
1991-06-13,1993-10-28,15,1993-09-24,其他发行方式,1.00,2500万,2.68,286万,6700万,6414万,7.00,7.80,24.61%,7.80,--,--,000525
1992-07-02,1993-11-01,--,1992-06-19,其他发行方式,1.00,5000万,2.00,--,1.00亿,0,7.90,8.10,6.47%,8.50,--,--,000526
1993-11-08,1993-11-18,5.9,1993-10-15,其他发行方式,1.00,5000万,4.20,--,2.10亿,2.05亿,18.00,20.05,36.00%,20.35,--,--,000528
1985-11-05,1993-11-18,--,1993-10-20,其他发行方式,1.00,2550万,7.20,--,1.84亿,1.81亿,20.00,21.00,30.52%,21.95,--,--,000529
1993-12-18,1993-12-08,--,1993-10-18,其他发行方式,1.00,3815万,3.50,300万,1.34亿,0,8.50,8.75,23.56%,8.80,--,--,000530
1992-11-30,1994-01-06,16.8,1993-10-20,其他发行方式,1.00,2110万,4.80,633万,1.01亿,9495万,8.00,8.55,18.17%,8.55,--,--,000531
1992-10-28,1994-01-03,14.8,1993-10-20,其他发行方式,1.00,2470万,7.83,420万,1.93亿,1.89亿,13.50,12.10,10.14%,13.50,--,--,000532
1992-10-28,1994-01-03,14.93,1993-10-18,其他发行方式,1.00,4120万,4.18,522万,1.72亿,1.62亿,9.00,8.30,14.71%,9.10,--,--,000533
1992-11-04,1994-01-10,--,1993-10-19,其他发行方式,1.00,2593万,6.42,560万,1.66亿,1.61亿,12.00,12.15,19.73%,12.70,--,--,000534
1995-05-25,1993-11-26,--,1993-10-13,其他发行方式,1.00,3354万,1.68,--,5635万,5072万,9.80,10.40,24.90%,10.80,--,--,000536
1986-03-05,1993-12-10,--,1993-10-25,其他发行方式,1.00,3340万,3.68,334万,1.23亿,0,9.00,8.75,13.02%,9.30,--,--,000537
1993-11-30,1993-12-15,--,1993-11-06,其他发行方式,1.00,2000万,3.38,--,6760万,0,8.50,10.35,48.89%,10.35,--,--,000538
1996-02-05,1993-11-26,--,1993-10-10,其他发行方式,1.00,4400万,9.80,--,4.31亿,4.27亿,15.80,15.90,8.65%,16.40,--,--,000539
1994-01-08,1994-02-02,--,1993-12-06,其他发行方式,1.00,3000万,3.10,--,9300万,0,5.80,6.20,31.72%,6.40,--,1.50%,000540
1992-10-20,1993-11-23,--,1993-10-06,其他发行方式,1.00,1930万,10.23,--,1.97亿,0,25.00,23.35,33.97%,25.80,--,--,000541
1993-12-13,1993-12-20,--,1993-10-08,其他发行方式,1.00,2.30亿,2.50,--,5.75亿,5.57亿,6.80,6.20,4.18%,6.80,--,--,000543
1996-10-25,1993-12-08,--,1993-10-25,其他发行方式,1.00,4500万,3.50,--,1.58亿,1.51亿,8.45,8.50,16.35%,8.50,--,--,000544
1989-11-15,1993-12-15,--,1993-11-12,其他发行方式,1.00,3000万,5.00,--,1.50亿,0,7.85,8.35,11.70%,8.80,--,--,000545
1998-03-04,1993-12-15,--,1993-11-10,其他发行方式,1.00,2700万,4.00,810万,1.08亿,9990万,8.20,8.40,7.50%,8.80,--,--,000546
1993-11-20,1993-11-30,10.35,1993-10-13,其他发行方式,1.00,2200万,2.38,--,5236万,5060万,9.80,10.20,29.75%,11.00,--,--,000547
1992-11-08,1993-12-20,13.1,1993-10-27,其他发行方式,1.00,6600万,2.88,--,1.90亿,1.85亿,7.50,6.60,9.03%,7.50,--,--,000548
1997-01-08,1993-12-01,--,1993-10-20,其他发行方式,1.00,9800万,3.60,--,3.53亿,0,9.60,8.80,23.98%,9.60,--,2.42%,000550
1993-12-22,1994-01-06,15,1993-11-27,其他发行方式,1.00,3000万,4.60,300万,1.38亿,1.35亿,8.80,8.95,14.14%,9.00,--,--,000551
